Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Genre
1997,153466,4,0.475,0.432,7,-7.844,1,0.0302,0.183,0.0,0.161,0.648,94.605,81,0
2000,168226,4,0.551,0.965,0,-2.772,1,0.0452,0.00576,0.0,0.171,0.708,137.841,60,0
2004,176346,4,0.38,0.988,1,-2.042,1,0.0639,2.64e-05,7.86e-05,0.368,0.769,186.113,80,0
2004,262333,4,0.496,0.682,8,-4.095,1,0.0294,0.00552,2.94e-05,0.0589,0.474,167.06,72,0
2004,232680,4,0.552,0.89,8,-3.409,1,0.0342,0.000143,0.0,0.888,0.716,146.525,64,0
2004,285653,4,0.546,0.814,7,-5.146,1,0.0314,0.023,0.0,0.0972,0.146,104.98,77,0
2009,321093,4,0.268,0.742,5,-4.939,1,0.0355,0.0518,0.0,0.626,0.416,159.779,75,0
1999,223746,4,0.579,0.812,1,-6.509,0,0.0693,0.00114,0.00333,0.115,0.278,152.002,68,0
1999,200493,4,0.582,0.765,9,-6.544,1,0.0376,0.00106,0.0506,0.344,0.528,128.164,62,0
2000,232453,4,0.645,0.792,4,-7.34,0,0.036,0.0562,0.0121,0.119,0.666,90.565,78,0
2001,264200,4,0.526,0.587,2,-8.733,1,0.039,0.24,0.243,0.886,0.364,93.986,58,0
2001,283160,4,0.515,0.864,2,-5.384,1,0.0478,0.00182,7.32e-05,0.108,0.232,153.966,58,0
2001,212733,4,0.246,0.768,9,-7.48,1,0.0387,0.000631,0.301,0.102,0.35,169.873,70,0
2004,294800,4,0.532,0.943,7,-4.549,0,0.0512,0.0056,0.000587,0.317,0.371,140.042,55,0
2006,225880,4,0.451,0.973,8,-2.611,1,0.0514,0.00428,7.36e-06,0.0924,0.628,151.885,60,0
2006,237066,4,0.474,0.805,4,-4.063,0,0.0266,0.0129,2.51e-06,0.175,0.409,78.102,56,0
1988,287000,4,0.402,0.597,2,-9.258,1,0.0327,0.0385,2.09e-06,0.109,0.496,81.806,63,0
1988,242720,4,0.324,0.931,9,-6.803,1,0.0837,0.0155,0.0252,0.277,0.313,82.748,52,0
1988,259666,4,0.257,0.901,9,-9.074,1,0.0832,0.0896,0.0137,0.227,0.252,93.286,45,0
1990,214706,4,0.639,0.929,0,-4.762,1,0.212,0.00326,0.0501,0.242,0.688,103.758,53,0
1990,307800,5,0.302,0.556,9,-9.448,1,0.0336,0.0248,0.002,0.107,0.243,112.559,29,0
1990,232266,4,0.364,0.0287,11,-19.914,0,0.0327,0.963,0.00368,0.123,0.0982,135.95,34,0
1990,254106,4,0.416,0.752,9,-8.239,1,0.111,0.0128,0.000527,0.595,0.354,122.789,44,0
1990,648506,4,0.286,0.837,9,-8.711,1,0.083,0.00445,0.0859,0.116,0.315,106.711,39,0
2001,243506,4,0.461,0.936,9,-5.296,1,0.0678,0.0249,8.63e-06,0.222,0.484,184.184,51,0
2001,181493,4,0.438,0.938,6,-5.611,0,0.094,0.00842,1.08e-06,0.806,0.584,160.212,65,0
2001,973173,4,0.657,0.697,9,-6.901,1,0.0232,0.145,0.096,0.2,0.678,135.315,28,0
2001,284373,3,0.465,0.517,4,-6.189,1,0.0284,0.00854,0.0403,0.209,0.137,136.176,61,0
2001,220026,4,0.487,0.898,5,-4.436,1,0.038,0.00305,0.0,0.26,0.597,135.331,68,0
2001,165853,4,0.643,0.849,2,-5.428,1,0.0526,0.0371,0.0,0.058,0.903,162.152,83,0
2004,181306,4,0.39,0.965,0,-3.38,0,0.119,0.0181,0.0,0.583,0.195,168.006,47,0
2004,203506,4,0.544,0.926,8,-3.575,1,0.0634,0.00741,0.0,0.214,0.352,115.081,38,0
2005,206373,4,0.393,0.939,8,-3.457,0,0.0963,0.000134,0.000114,0.134,0.694,172.977,47,0
1979,212360,4,0.325,0.828,10,-6.272,0,0.117,0.000269,0.729,0.11,0.73,85.115,47,0
1979,218213,4,0.483,0.842,7,-7.126,1,0.0384,0.032,0.55,0.0962,0.668,153.594,26,0
1979,144661,4,0.561,0.7,0,-8.82,1,0.0798,0.356,2.96e-05,0.0723,0.607,82.857,48,0
1980,251866,4,0.611,0.435,6,-10.791,1,0.0308,0.214,0.474,0.102,0.436,120.066,30,0
1980,293693,4,0.484,0.962,5,-5.317,1,0.0585,0.0496,0.668,0.116,0.633,116.795,39,0
1980,175093,4,0.544,0.783,0,-8.12,1,0.054,0.048,0.00734,0.0917,0.697,151.522,47,0
1980,206226,4,0.524,0.921,2,-7.709,1,0.0367,0.00103,0.768,0.128,0.908,146.849,39,0
1980,291706,4,0.387,0.525,2,-9.634,1,0.035,0.00236,0.769,0.251,0.258,78.339,48,0
1980,235653,4,0.423,0.769,9,-7.2,1,0.0617,0.00107,0.862,0.135,0.109,145.386,44,0
1980,237013,4,0.485,0.846,11,-7.63,0,0.0528,0.0157,0.0287,0.0766,0.743,144.246,55,0
1969,442580,4,0.342,0.701,7,-9.916,0,0.0626,0.000409,0.588,0.197,0.558,139.563,55,0
1969,526822,4,0.284,0.318,4,-12.919,0,0.0319,0.00721,0.00864,0.0858,0.0924,131.699,53,0
